               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12398,            0.090164,            0.029386,            0.014046,            0.005988,          0.00095629,          0.00014171,             0.12875,            0.051205,            0.030231,             0.00043,             0.00043,             0.09613
                   1,             0.11629,             0.11163,            0.028092,            0.034125,            0.017964,           0.0042584,          0.00076924,             0.12063,            0.058385,            0.029741,          0.00086981,          0.00086981,             0.09217
                   2,             0.10581,             0.11004,            0.027247,            0.044311,             0.15635,            0.021022,           0.0035522,             0.11332,            0.056028,            0.029509,           0.0013088,           0.0013088,            0.088209
                   3,            0.098641,            0.097549,            0.026232,            0.097402,             0.13604,            0.057421,             0.01107,             0.10308,            0.055528,            0.027206,           0.0017465,           0.0017465,            0.084247
                   4,            0.092685,             0.10907,             0.02542,             0.15148,             0.24143,             0.12132,            0.024016,            0.093176,            0.054548,            0.025077,           0.0021822,           0.0021822,            0.080282
                   5,             0.08486,             0.10011,            0.024565,             0.19362,             0.28483,             0.19775,            0.046509,            0.086652,            0.053376,            0.023081,           0.0026154,           0.0026154,            0.076315
                   6,            0.076165,            0.088649,            0.023827,             0.24139,             0.36036,             0.18472,              0.0372,            0.083778,            0.049053,            0.021654,           0.0030455,           0.0030455,            0.072346
                   7,            0.075281,             0.10098,            0.023307,             0.55766,             0.47312,             0.45425,             0.12735,            0.068495,            0.050353,            0.021367,            0.003472,            0.003472,            0.068372
                   8,            0.078636,            0.093048,             0.02205,             0.62896,             0.52854,             0.55327,              0.1679,            0.078668,            0.046684,            0.020254,           0.0038942,           0.0038942,            0.064394
                   9,            0.078563,             0.10343,             0.02282,             0.28506,             0.43473,             0.26957,            0.066116,            0.079114,            0.048705,            0.022691,           0.0043116,           0.0043116,            0.060412
                  10,             0.07696,            0.096315,            0.020756,             0.52211,             0.50648,             0.48816,             0.14533,            0.070376,            0.048795,            0.021121,           0.0047236,           0.0047236,            0.056424
                  11,            0.076281,            0.076201,            0.021398,             0.53606,             0.56679,               0.605,             0.25913,             0.07189,            0.050622,            0.021839,           0.0051298,           0.0051298,             0.05243
                  12,            0.073729,            0.085054,            0.019971,             0.48551,             0.49897,             0.46886,             0.12388,            0.071308,            0.048663,            0.020266,           0.0055296,           0.0055296,             0.04843
                  13,            0.075674,             0.10506,            0.019392,             0.37544,             0.72792,             0.50454,              0.1943,            0.078105,            0.047471,            0.019148,           0.0059224,           0.0059224,            0.044422
                  14,            0.071331,            0.092885,            0.018555,             0.33093,             0.48396,             0.30654,            0.077845,            0.074087,            0.047174,            0.019094,           0.0063078,           0.0063078,            0.040408
                  15,            0.070896,            0.082121,            0.017831,             0.55668,              0.6191,             0.58736,             0.23484,            0.066112,            0.046541,            0.018258,           0.0066852,           0.0066852,            0.036385
                  16,            0.069391,             0.10856,            0.017822,             0.38521,             0.72351,             0.49702,             0.13094,            0.061744,            0.052049,            0.020102,           0.0070542,           0.0070542,            0.032354
                  17,            0.076404,            0.087647,            0.018306,             0.49838,             0.65176,             0.52504,              0.1619,            0.087206,            0.041754,            0.019969,           0.0074143,           0.0074143,            0.028314
                  18,            0.074324,             0.08222,            0.017372,             0.58253,             0.68953,             0.56424,             0.17552,              0.0712,            0.047188,            0.017437,           0.0077651,           0.0077651,            0.024265
                  19,            0.077941,            0.081666,            0.016705,             0.67853,             0.71728,             0.73835,             0.27314,            0.063068,            0.047031,            0.016534,            0.008106,            0.008106,            0.020206
                  20,            0.073101,            0.081576,            0.016767,             0.49724,             0.59153,              0.5863,             0.23013,            0.061704,            0.049974,             0.02077,           0.0084368,           0.0084368,            0.016137
                  21,            0.068116,            0.096863,             0.01549,             0.31166,             0.54894,              0.3891,             0.13754,            0.069818,            0.061553,            0.023923,           0.0087569,           0.0087569,            0.012057
                  22,            0.074459,            0.096372,            0.016414,             0.24417,             0.27565,             0.24554,            0.079842,            0.076203,            0.053831,             0.02212,           0.0089673,           0.0089673,           0.0089673
                  23,            0.068397,            0.095091,            0.015181,             0.44892,             0.69873,             0.46264,             0.19639,            0.060086,            0.050713,            0.023794,           0.0089673,           0.0089673,           0.0089673
                  24,            0.066229,            0.085295,            0.015084,             0.42357,             0.69689,             0.47063,             0.12929,            0.069084,            0.045897,            0.017727,           0.0088755,           0.0088755,           0.0088755
                  25,            0.064212,            0.088099,            0.014741,             0.38912,             0.76877,             0.46231,              0.1463,            0.059122,            0.046741,            0.019951,           0.0087804,           0.0087804,           0.0087804
                  26,            0.060098,            0.089497,            0.015649,             0.49983,             0.78944,             0.60569,             0.24106,            0.058799,            0.051179,            0.021953,            0.008682,            0.008682,            0.008682
                  27,            0.057731,            0.097383,            0.014381,             0.53714,              0.4504,             0.54131,             0.20582,            0.069171,            0.047534,            0.018371,           0.0085805,           0.0085805,           0.0085805
                  28,            0.060902,            0.088078,            0.014161,             0.44971,             0.89161,             0.67086,             0.30579,            0.052203,            0.049625,            0.019168,           0.0084759,           0.0084759,           0.0084759
                  29,            0.055196,            0.095503,            0.014279,              0.4008,             0.73499,             0.56068,             0.25995,            0.052998,            0.052945,            0.020151,           0.0083684,           0.0083684,           0.0083684
                  30,            0.055402,            0.073293,             0.01445,             0.45489,             0.87898,             0.66073,             0.28274,            0.049893,            0.048668,            0.016066,           0.0082581,           0.0082581,           0.0082581
                  31,             0.05184,            0.079487,            0.013992,             0.52379,             0.85075,             0.71737,             0.35267,            0.047797,            0.048829,            0.015955,            0.008145,            0.008145,            0.008145
                  32,            0.051632,            0.081176,            0.013302,              0.4262,             0.76527,             0.56252,             0.18248,            0.060909,            0.048512,            0.015046,           0.0080294,           0.0080294,           0.0080294
                  33,            0.055703,            0.083199,            0.012703,             0.47816,             0.86306,             0.66512,             0.32975,            0.047091,            0.049028,            0.016792,           0.0079112,           0.0079112,           0.0079112
                  34,            0.054924,            0.083277,             0.01301,             0.50506,             0.87493,              0.7422,              0.3727,            0.046274,            0.048927,            0.014522,           0.0077907,           0.0077907,           0.0077907
                  35,             0.04759,            0.086699,            0.011423,             0.53284,             0.92172,             0.72503,             0.32847,            0.048498,            0.048323,            0.017176,           0.0076679,           0.0076679,           0.0076679
                  36,            0.050196,             0.08629,            0.011638,             0.54742,             0.89289,             0.71126,             0.35395,            0.043463,             0.04701,            0.019523,            0.007543,            0.007543,            0.007543
                  37,            0.052759,            0.073786,            0.010389,             0.50259,             0.89967,               0.691,             0.31888,            0.046564,            0.046316,            0.015561,            0.007416,            0.007416,            0.007416
                  38,            0.061356,             0.10355,            0.011069,             0.58303,             0.88984,             0.79639,             0.43444,             0.04523,            0.047209,               0.013,           0.0072872,           0.0072872,           0.0072872
                  39,            0.049789,            0.099857,            0.011931,             0.53843,              0.9196,              0.7231,             0.36065,            0.044622,            0.048642,            0.018092,           0.0071566,           0.0071566,           0.0071566
                  40,            0.044279,            0.077276,             0.01196,             0.53233,             0.93388,             0.74862,             0.33374,             0.04832,            0.046674,            0.014723,           0.0070243,           0.0070243,           0.0070243
                  41,            0.049879,            0.095748,            0.010137,             0.56205,             0.89056,             0.71818,             0.30946,            0.048761,            0.046451,            0.016591,           0.0068906,           0.0068906,           0.0068906
                  42,            0.051067,            0.083758,            0.011174,             0.66266,             0.90875,             0.84331,             0.40588,            0.045692,            0.045665,            0.013334,           0.0067555,           0.0067555,           0.0067555
                  43,             0.04552,            0.083635,           0.0096293,              0.7248,             0.78138,             0.80256,             0.37361,            0.046739,             0.04603,            0.014569,           0.0066191,           0.0066191,           0.0066191
                  44,            0.045219,            0.083753,           0.0091235,             0.67286,             0.87388,             0.81735,             0.41279,            0.043834,            0.045414,             0.01357,           0.0064816,           0.0064816,           0.0064816
                  45,            0.046408,            0.082478,           0.0091784,             0.78411,             0.83479,              0.8683,             0.44651,            0.044043,            0.044478,            0.010319,           0.0063432,           0.0063432,           0.0063432
                  46,            0.050241,            0.080715,            0.010328,             0.62311,             0.91988,             0.78838,             0.41293,            0.044409,            0.046392,            0.014517,            0.006204,            0.006204,            0.006204
                  47,            0.043061,            0.076166,            0.009103,              0.5701,             0.94503,             0.72542,             0.35796,            0.045949,             0.04627,            0.019455,            0.006064,            0.006064,            0.006064
                  48,            0.043248,              0.0836,           0.0090765,             0.63932,             0.90306,             0.77742,             0.41426,            0.043228,            0.045744,            0.014935,           0.0059235,           0.0059235,           0.0059235
                  49,            0.042603,            0.069896,            0.009304,             0.62267,             0.89747,              0.7424,             0.38698,            0.044059,            0.046492,            0.016345,           0.0057826,           0.0057826,           0.0057826
                  50,            0.047783,            0.080425,           0.0084557,             0.61789,             0.93472,             0.77459,             0.41293,            0.042992,            0.046955,            0.014609,           0.0056413,           0.0056413,           0.0056413
                  51,            0.043784,            0.070871,           0.0092862,             0.59306,             0.93258,              0.7738,             0.41851,            0.042705,            0.046272,             0.01499,              0.0055,              0.0055,              0.0055
                  52,            0.042771,            0.079666,            0.010669,             0.49321,             0.91468,             0.62988,             0.30221,            0.046433,            0.048454,            0.022529,           0.0053587,           0.0053587,           0.0053587
                  53,            0.041375,            0.073322,           0.0090232,             0.58561,             0.82765,             0.76931,             0.39299,            0.045326,            0.047434,            0.015039,           0.0052174,           0.0052174,           0.0052174
                  54,            0.042609,            0.082791,            0.010065,             0.60215,             0.90863,             0.80486,             0.41791,            0.043374,            0.046492,             0.01381,           0.0050765,           0.0050765,           0.0050765
                  55,            0.039449,            0.067764,           0.0091519,             0.58942,               0.949,             0.81341,             0.41086,            0.043198,            0.045612,            0.013827,            0.004936,            0.004936,            0.004936
                  56,            0.041158,            0.075765,           0.0082249,             0.57891,             0.92474,             0.74729,             0.38164,            0.042441,            0.046553,            0.017092,            0.004796,            0.004796,            0.004796
                  57,            0.042352,            0.085353,           0.0085315,             0.55021,             0.91291,             0.69787,             0.36574,            0.042512,            0.047472,            0.020228,           0.0046568,           0.0046568,           0.0046568
                  58,            0.043491,            0.090146,           0.0090013,             0.57859,             0.94046,             0.76731,             0.41475,            0.041249,            0.045863,            0.014707,           0.0045184,           0.0045184,           0.0045184
                  59,            0.040611,            0.083441,            0.007366,             0.59441,             0.93854,             0.79909,             0.42836,            0.041588,            0.046784,            0.013159,           0.0043809,           0.0043809,           0.0043809
                  60,              0.0387,            0.070164,           0.0081866,             0.63575,             0.91139,             0.82819,             0.45139,            0.040531,            0.046692,            0.011153,           0.0042445,           0.0042445,           0.0042445
                  61,             0.04189,            0.075262,           0.0083296,             0.64351,             0.90389,             0.82798,             0.44813,            0.040427,             0.04583,            0.010551,           0.0041094,           0.0041094,           0.0041094
                  62,             0.04109,            0.079277,           0.0079075,             0.61448,             0.93076,             0.80333,             0.43871,            0.040667,            0.045446,            0.012284,           0.0039757,           0.0039757,           0.0039757
                  63,            0.039823,            0.074284,            0.010188,             0.57158,             0.84676,             0.73859,             0.39373,            0.041298,            0.048187,            0.015275,           0.0038434,           0.0038434,           0.0038434
                  64,            0.038363,            0.072293,           0.0075017,             0.64541,             0.84296,             0.81976,             0.44851,            0.040086,             0.04639,             0.01098,           0.0037128,           0.0037128,           0.0037128
                  65,            0.038099,            0.063472,           0.0076115,             0.64605,             0.82719,             0.81619,             0.44716,            0.040276,            0.046517,             0.01102,            0.003584,            0.003584,            0.003584
                  66,            0.040719,            0.085499,            0.009107,             0.62434,             0.80792,             0.78666,             0.40702,            0.041404,             0.04894,             0.01298,            0.003457,            0.003457,            0.003457
                  67,             0.04084,            0.090902,           0.0081021,             0.60942,             0.93796,             0.80654,             0.43919,            0.041007,            0.045695,            0.012741,           0.0033321,           0.0033321,           0.0033321
                  68,            0.036644,            0.064833,           0.0077129,             0.64146,              0.9449,             0.79656,             0.43141,             0.04104,            0.044888,            0.014532,           0.0032093,           0.0032093,           0.0032093
                  69,            0.038501,            0.066994,           0.0075728,             0.61556,             0.95262,             0.78359,              0.4131,            0.041345,            0.045152,            0.014799,           0.0030888,           0.0030888,           0.0030888
                  70,            0.038785,             0.07171,           0.0072539,             0.59547,             0.95016,             0.76714,             0.41443,            0.041205,            0.045038,             0.01629,           0.0029706,           0.0029706,           0.0029706
                  71,            0.037841,            0.072452,           0.0070776,             0.57663,             0.94713,             0.75032,             0.40023,            0.041146,            0.045456,            0.019337,            0.002855,            0.002855,            0.002855
                  72,            0.039295,            0.076618,           0.0073259,             0.61326,             0.95529,             0.78771,             0.42382,             0.04077,            0.045189,            0.017534,           0.0027419,           0.0027419,           0.0027419
                  73,            0.038987,            0.073271,           0.0069732,             0.64613,             0.91983,             0.80831,              0.4489,            0.039871,            0.044333,            0.015043,           0.0026316,           0.0026316,           0.0026316
                  74,            0.040279,            0.080539,           0.0081675,             0.61004,             0.90351,             0.77219,             0.42377,            0.040911,            0.045477,            0.015901,           0.0025241,           0.0025241,           0.0025241
                  75,            0.038551,             0.08214,           0.0066025,             0.59791,             0.86705,             0.74364,             0.40708,            0.041243,            0.045826,            0.016971,           0.0024195,           0.0024195,           0.0024195
                  76,            0.037683,            0.074045,           0.0079795,             0.62846,             0.95495,             0.80775,              0.4474,            0.040945,            0.044337,            0.012285,            0.002318,            0.002318,            0.002318
                  77,            0.036805,            0.067071,           0.0081446,             0.64413,             0.96685,             0.83824,             0.46941,            0.040607,            0.044436,            0.010547,           0.0022196,           0.0022196,           0.0022196
                  78,            0.037989,            0.071695,           0.0078889,             0.64068,             0.93086,             0.83149,             0.46132,            0.040601,            0.045625,            0.010693,           0.0021245,           0.0021245,           0.0021245
                  79,            0.037277,            0.067773,           0.0077898,             0.62797,             0.86128,             0.78811,             0.43178,             0.04081,            0.047395,              0.0136,           0.0020327,           0.0020327,           0.0020327
                  80,            0.039238,            0.091709,           0.0084931,             0.59363,             0.91218,              0.7486,             0.41506,            0.040969,            0.046971,            0.017753,           0.0019443,           0.0019443,           0.0019443
                  81,            0.036424,            0.062257,           0.0073386,             0.56282,             0.90045,             0.72502,             0.40306,            0.040839,            0.046239,            0.019922,           0.0018594,           0.0018594,           0.0018594
                  82,            0.038678,            0.087222,           0.0083152,             0.56166,             0.91541,             0.73284,             0.39694,            0.041111,            0.045319,            0.018835,           0.0017781,           0.0017781,           0.0017781
                  83,            0.036892,            0.071091,           0.0079643,             0.62718,             0.90058,             0.79242,             0.43651,            0.040455,            0.045285,            0.014427,           0.0017005,           0.0017005,           0.0017005
                  84,            0.037609,            0.079204,           0.0068644,              0.6282,             0.87869,             0.80461,             0.44627,             0.04056,            0.046502,            0.012797,           0.0016267,           0.0016267,           0.0016267
                  85,            0.036245,            0.074688,           0.0063181,             0.60201,             0.87514,             0.79325,             0.43904,            0.040737,            0.048503,            0.013173,           0.0015566,           0.0015566,           0.0015566
                  86,            0.038793,            0.082991,           0.0067109,              0.5965,             0.86237,             0.79245,             0.43394,            0.040777,            0.049646,            0.013831,           0.0014905,           0.0014905,           0.0014905
                  87,              0.0364,            0.066627,            0.006238,             0.58743,             0.85029,             0.77411,             0.42501,             0.04093,            0.050049,            0.015366,           0.0014283,           0.0014283,           0.0014283
                  88,            0.038329,            0.074674,           0.0085419,             0.60049,             0.85325,             0.76247,              0.4193,            0.040729,            0.047142,            0.015662,           0.0013701,           0.0013701,           0.0013701
                  89,            0.036561,            0.065153,           0.0079098,             0.60078,             0.89045,             0.76928,             0.42546,            0.040445,             0.04588,              0.0156,            0.001316,            0.001316,            0.001316
                  90,            0.036415,            0.069677,           0.0061701,             0.61928,              0.8869,             0.78163,             0.43586,            0.040341,            0.045981,            0.014675,            0.001266,            0.001266,            0.001266
                  91,            0.037909,             0.08116,           0.0082743,               0.647,             0.86943,             0.80888,             0.45194,            0.039946,             0.04561,            0.011556,           0.0012202,           0.0012202,           0.0012202
                  92,            0.038091,            0.078846,           0.0072207,             0.62061,             0.89011,              0.8097,             0.45238,            0.040185,             0.04686,            0.011487,           0.0011787,           0.0011787,           0.0011787
                  93,            0.038622,            0.084928,           0.0081334,             0.60835,             0.88823,             0.78787,             0.44048,            0.040532,            0.047578,            0.013095,           0.0011414,           0.0011414,           0.0011414
                  94,            0.036615,            0.075892,           0.0071102,             0.60017,             0.84088,             0.76046,             0.42373,            0.040805,            0.048853,            0.015927,           0.0011084,           0.0011084,           0.0011084
                  95,            0.036064,            0.071929,           0.0066333,             0.59644,             0.91895,              0.7651,              0.4244,             0.04028,            0.046264,            0.015943,           0.0010797,           0.0010797,           0.0010797
                  96,            0.036283,            0.065967,            0.007349,             0.64733,             0.92531,             0.84149,             0.47795,            0.039611,            0.043605,            0.011195,           0.0010554,           0.0010554,           0.0010554
                  97,            0.038865,            0.089278,           0.0067093,              0.7517,             0.87205,             0.88382,             0.50805,            0.039703,            0.043159,           0.0097033,           0.0010355,           0.0010355,           0.0010355
                  98,            0.038336,            0.077132,           0.0073534,             0.73774,             0.84298,             0.86735,             0.49856,            0.039873,            0.043501,            0.010337,             0.00102,             0.00102,             0.00102
                  99,            0.037693,            0.076218,           0.0073959,             0.68986,             0.86027,             0.84458,             0.48353,            0.039806,            0.044103,            0.011106,           0.0010089,           0.0010089,           0.0010089
